Beneficiary_ID,District,Age_Group,Enrollment_Date,Vulnerability_Score
ZHI-10000,Gokwe South,15-19,2025-05-11,9
ZHI-10001,Mutare,15-19,2024-03-27,2
ZHI-10002,Mazowe,20-24,2024-01-20,5
ZHI-10003,Kwekwe,15-19,2025-07-29,8
ZHI-10004,Bulawayo,20-24,2024-08-01,6
ZHI-10005,Bulawayo,10-14,2024-07-09,3
ZHI-10006,Bulawayo,20-24,2024-06-22,3
ZHI-10007,Chipinge,20-24,2024-04-18,8
ZHI-10008,Kwekwe,10-14,2025-07-26,7
ZHI-10009,Mazowe,15-19,2024-03-20,6
ZHI-10010,Bulawayo,10-14,2025-06-09,1
ZHI-10011,Mutare,20-24,2025-07-29,6
ZHI-10012,Chipinge,15-19,2025-11-23,6
ZHI-10013,Gweru,15-19,2025-02-27,3
ZHI-10014,Bulawayo,10-14,2024-03-08,4
ZHI-10015,Bulawayo,10-14,2025-04-03,4
ZHI-10016,Gweru,10-14,2024-11-23,8
ZHI-10017,Kwekwe,15-19,2024-01-25,1
ZHI-10018,Gokwe South,15-19,2024-01-24,8
ZHI-10019,Gweru,20-24,2024-03-13,6
ZHI-10020,Kwekwe,15-19,2024-06-18,4
ZHI-10021,Bulawayo,15-19,2024-06-29,1
ZHI-10022,Gweru,20-24,2025-01-27,8
ZHI-10023,Gokwe South,20-24,2025-04-12,8
ZHI-10024,Gokwe South,20-24,2024-01-21,7
ZHI-10025,Mazowe,15-19,2025-03-11,3
ZHI-10026,Bulawayo,10-14,2024-06-03,7
ZHI-10027,Kwekwe,10-14,2025-07-10,3
ZHI-10028,Kwekwe,20-24,2025-05-19,8
ZHI-10029,Bulawayo,10-14,2025-06-28,6
ZHI-10030,Kwekwe,15-19,2025-02-27,8
ZHI-10031,Bulawayo,15-19,2024-11-21,6
ZHI-10032,Bulawayo,15-19,2024-06-20,5
ZHI-10033,Mutare,15-19,2024-12-14,5
ZHI-10034,Mutare,10-14,2025-04-02,6
ZHI-10035,Chipinge,15-19,2024-08-04,7
ZHI-10036,Gweru,15-19,2025-09-20,2
ZHI-10037,Bulawayo,20-24,2025-11-06,3
ZHI-10038,Bubi,20-24,2024-01-06,9
ZHI-10039,Gokwe South,20-24,2025-08-12,7
ZHI-10040,Bulawayo,20-24,2025-09-17,3
ZHI-10041,Gokwe South,15-19,2024-05-04,6
ZHI-10042,Bulawayo,10-14,2025-06-26,5
ZHI-10043,Mutare,15-19,2024-11-24,7
ZHI-10044,Gweru,15-19,2024-09-21,4
ZHI-10045,Bubi,15-19,2024-08-03,8
ZHI-10046,Gweru,15-19,2024-04-30,7
ZHI-10047,Kwekwe,15-19,2024-06-16,6
ZHI-10048,Kwekwe,15-19,2025-08-16,8
ZHI-10049,Bulawayo,15-19,2024-09-18,1
ZHI-10050,Mutare,10-14,2024-03-20,5
