Beneficiary_ID,Intervention_Type,Date_Provided,Cost_USD
ZHI-10000,SGBV Prevention,2025-06-17,40
ZHI-10000,Education Support,2025-10-04,156
ZHI-10000,SGBV Prevention,2025-09-27,31
ZHI-10001,Clinical Services,2024-05-10,37
ZHI-10002,Education Support,2024-06-30,136
ZHI-10002,Economic Strengthening,2024-03-15,173
ZHI-10003,Economic Strengthening,2026-01-11,236
ZHI-10003,Economic Strengthening,2025-11-05,211
ZHI-10004,SGBV Prevention,2024-12-25,42
ZHI-10005,SGBV Prevention,2024-10-04,20
ZHI-10006,SGBV Prevention,2024-07-01,39
ZHI-10007,SGBV Prevention,2024-08-25,24
ZHI-10007,Economic Strengthening,2024-10-01,269
ZHI-10008,Parenting Sessions,2025-08-21,49
ZHI-10008,Clinical Services,2025-10-01,73
ZHI-10009,Education Support,2024-06-11,157
ZHI-10009,SGBV Prevention,2024-04-28,45
ZHI-10010,Parenting Sessions,2025-11-25,35
ZHI-10011,Parenting Sessions,2025-09-03,33
ZHI-10012,Economic Strengthening,2026-04-21,245
ZHI-10012,Clinical Services,2026-05-01,47
ZHI-10013,Parenting Sessions,2025-07-26,26
ZHI-10014,Economic Strengthening,2024-06-04,285
ZHI-10015,SGBV Prevention,2025-09-28,45
ZHI-10016,Education Support,2024-11-25,155
ZHI-10016,Clinical Services,2025-02-25,27
ZHI-10017,SGBV Prevention,2024-06-08,21
ZHI-10018,Clinical Services,2024-04-23,47
ZHI-10018,Parenting Sessions,2024-06-14,12
ZHI-10018,Education Support,2024-04-26,173
ZHI-10019,Economic Strengthening,2024-08-11,177
ZHI-10019,SGBV Prevention,2024-06-12,44
ZHI-10020,Parenting Sessions,2024-08-13,11
ZHI-10021,Economic Strengthening,2024-12-19,267
ZHI-10022,Clinical Services,2025-05-16,23
ZHI-10022,Education Support,2025-04-21,98
ZHI-10023,Education Support,2025-08-19,151
ZHI-10023,Clinical Services,2025-06-02,26
ZHI-10024,Parenting Sessions,2024-05-13,10
ZHI-10025,Parenting Sessions,2025-07-20,33
ZHI-10026,Education Support,2024-06-16,191
ZHI-10027,SGBV Prevention,2025-11-25,49
ZHI-10028,Clinical Services,2025-07-13,26
ZHI-10028,Education Support,2025-08-26,115
ZHI-10028,Economic Strengthening,2025-07-05,180
ZHI-10028,SGBV Prevention,2025-10-12,24
ZHI-10029,SGBV Prevention,2025-11-26,30
ZHI-10029,Education Support,2025-09-08,179
ZHI-10030,Economic Strengthening,2025-05-06,297
ZHI-10030,Parenting Sessions,2025-07-24,17
ZHI-10031,Parenting Sessions,2025-01-25,15
ZHI-10032,Clinical Services,2024-09-07,71
ZHI-10033,Education Support,2025-04-14,136
ZHI-10033,Economic Strengthening,2025-03-12,167
ZHI-10034,Parenting Sessions,2025-04-19,40
ZHI-10034,Education Support,2025-05-26,183
ZHI-10035,SGBV Prevention,2024-08-19,13
ZHI-10035,Economic Strengthening,2024-11-24,283
ZHI-10036,Clinical Services,2025-11-17,68
ZHI-10037,Parenting Sessions,2026-02-23,35
ZHI-10038,Education Support,2024-04-07,155
ZHI-10038,Parenting Sessions,2024-05-31,39
ZHI-10038,Clinical Services,2024-05-26,70
ZHI-10039,Economic Strengthening,2025-12-16,256
ZHI-10040,Parenting Sessions,2026-02-27,28
ZHI-10041,Parenting Sessions,2024-07-12,23
ZHI-10042,Economic Strengthening,2025-12-11,253
ZHI-10042,Parenting Sessions,2025-10-29,14
ZHI-10043,Economic Strengthening,2024-11-27,137
ZHI-10044,Clinical Services,2024-12-03,57
ZHI-10045,SGBV Prevention,2024-12-06,15
ZHI-10045,Economic Strengthening,2024-08-28,115
